강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
[부지런] AI 활용 숏츠 영상제작,직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,성인,오프라인,경기도 의정부시 의정로 165,평생직업교육,중급,http://www.ull.or.kr/lifeedu/index.do
[중장년 보충] AI 활용 보충 - 금 오전9시,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,"청년/직장인,성인,어르신",오프라인,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,디지털배움터,초급,http://www.ull.or.kr/lifeedu/index.do
[부지런] AI 솔루션 창업과정,직업능력교육 > 취창업준비 프로그램 > 기타 창업 준비 프로그램,"청년/직장인,성인",오프라인,경기도 의정부시 산단로76번길 89 의정부시 중소기업 지원센터1층 교육장,평생직업교육,중급,http://www.ull.or.kr/lifeedu/index.do
[중장년 보충] AI 활용 보충 - 금요일 오전9시,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,"성인,어르신",오프라인,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,디지털배움터,초급,http://www.ull.or.kr/lifeedu/index.do
[중장년 특화] 일상 속  생성형 AI 여정 (AI로 검색하기) - 금요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,"청년/직장인,성인,어르신",오프라인,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,디지털배움터,초급,http://www.ull.or.kr/lifeedu/index.do
[중장년 특화] 말만 하면 척척  AI는 멋진 비서 (챗GPT) - 금요일 오후반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,"청년/직장인,성인,어르신",오프라인,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,디지털배움터,초급,http://www.ull.or.kr/lifeedu/index.do
[중장년 입문]  AI 활용 기초 나만의 콘텐츠 만들기 - 금요일 오전반,기초문해교육 > 생활기술해독프로그램 > 디지털(정보화) 리터러시 프로그램,"청년/직장인,성인,어르신",오프라인,경기도 의정부시 의정로 165 평생학습원 4층 제2강의실,디지털배움터,초급,http://www.ull.or.kr/lifeedu/index.do
[부지런]AI 활용 능력 과정,직업능력교육 > 직무역량프로그램 > 평생교육,"청년/직장인,성인",오프라인,경기도 의정부시 의정로 165 2층,평생직업교육,중급,http://www.ull.or.kr/lifeedu/index.do
AI도구와 함께하는 왕초보 일본어(강좌번호 12),인문교양교육 > 생활소양프로그램 > 생활일본어,"성인,어르신",오프라인,경기도 의정부시 평화로230번길 12-9 2층 정보화실,호원1동 주민자치센터,초급,http://www.ull.or.kr/lifeedu/index.do
[하이런] 나도 영화감독 (AI로 단편 영화 제작하고 공모전 출품하기),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,"청년/직장인,성인",오프라인,경기도 의정부시 의정로 165 2층,평생직업교육,중급,http://www.ull.or.kr/lifeedu/index.do
[하이런] 나도 디자이너 (포토샵 AI 기능을 활용한 웹 홍보물 제작),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,"청년/직장인,성인",오프라인,경기도 의정부시 의정로 165 2층,평생직업교육,중급,http://www.ull.or.kr/lifeedu/index.do
[하이런] AI 기초 실무 (AI 입문자 대상),직업능력교육 > 취창업준비 프로그램 > 직업 준비 프로그램,"청년/직장인,성인",오프라인,경기도 의정부시 의정로 165 2층,평생직업교육,초급,http://www.ull.or.kr/lifeedu/index.do
AI와 함께하는 왕초보 일본어(강좌번호 26),인문교양교육 > 생활소양프로그램 > 생활일본어,"성인,어르신",오프라인,경기도 의정부시 평화로230번길 12-9 2층 정보화실,호원1동 주민자치센터,초급,http://www.ull.or.kr/lifeedu/index.do
[성인] ChatGPT 그림책 작가,"ChatGPT로 초안 작성, 스타일 구사, 정보 탐색 및 실제 글쓰기를 통해 그림책을 완성하고 종이책 제작",성인,오프라인,"인천광역시 부평구 신트리로 21 (부평동, 북구도서관)",인천광역시교육청북구도서관,중급,http://lib.ice.go.kr/bukgu/index.do
"자양2동 학습나루터 ★어반스케치로 그리는 우리 마을_그림도 처음,  AI도 처음★",어반스캐치,구민누구나,오프라인,서울특별시 광진구 자양로3가길 26,서울특별시 광진구 평생교육과,초급,http://www.gwangjin.go.kr/edu
