강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
스마트폰 활용(중급),스마트폰과 AI 기능을 활용한 영상 편집 및 제작 역량을 단계적으로 향상시킨다.,대전시민(성인),오프라인,대전광역시 중구 중교로 56,대전평생학습관,중급,http://www.dllc.or.kr
상황에 맞게 활용하는 스마트한 AI 생활,상황에 맞는 생성형 AI도구를 활용하는 방법 학습,인천시민,온라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
AI를 활용한 숏폼 콘텐츠 만들기,생성형 AI를 활용하여 디지털 콘텐츠 제작,인천시민,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
[기초] 스마트한 AI 생활 첫걸음,AI의 기초적인 사용 방법 학습,인천시민,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
챗GPT와 친해지기,AI도구의 기본 기능 이해,성인 장애인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
디지털·AI 활용을 통한 일상 기록하기,디지털·AI 활용을 통한 일상 기록,성인 장애인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
"AI시대, 생존하는 진로설계",AI시대의 진로설계 방법 이해,학부모,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
AI-POT(AI프롬프트활용능력),AI-POT(AI프롬프트 활용능력)자격 시험 과정,성인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
행복한 노후준비와 생성형 AI,"100세 시대를 맞아 건강,재무, 여가, 대인관계 영역을재점검하고, AI를 활용하여행복한 노후생활 설계하기",어르신,오프라인,"대구광역시 수성구 만촌로 151 (만촌동, 대구광역시립수성도서관)",대구광역시립수성도서관,중급,https://library.daegu.go.kr/suseong
AI 활용 스토리북 만들기,AI 생성 이미지와 텍스트로 스토리북 만들기,초등 3~5학년,오프라인,대구광역시 서구 국채보상로49길 12 (평리동),대구광역시립 서부도서관,중급,https://library.daegu.go.kr/seobu/
(상반기)생활을 바꾸는 스마트폰 기초 활용과 AI,스마트폰을 안전하고 효율적으로 활용하는 기초 역량을 다진다.,성인(60대이상),오프라인,부산광역시 동래구 명안로46번길 35,부산광역시립명장도서관,초급,https://home.pen.go.kr/mjlib
지구 지킴이 환경 놀이터,"영화, 게임, 코딩 및 AI를 하면서 지속 가능한 발전을 위한 생태 환경 중심적 사고력을 기르다.",초 4-6,오프라인,부산광역시 부산진구 월드컵대로 462(초읍동),부산광역시립시민도서관,초급,
GTQ포토샵&AI디자인,GTQ 포토샵 실무자격증 취득&이모티콘과 캐릭터를 디자인하고 이모티콘 애니메이션 제작하기,지역주민+성인,오프라인,인천광역시 미추홀구 경원대로864번길 24,인천광역시 여성복지관,중급,
[정규] 시니어 눈높이 AI 활용법,천천히 배워보는 시니어 맞춤형 AI 수업,청주시민,오프라인,충청북도 청주시 흥덕구 월명로 13번길 52,충청북도 청주시 평생학습관,초급,https://lll.cheongju.go.kr
"[정규] 생성형 AI 완전 정복 : 음악, 이미지, 영상까지","일상과 업무가 편해지는 생성형 AI, 쉽게 배워 다양하게 활용하기",청주시민,오프라인,충청북도 청주시 흥덕구 월명로 13번길 52,충청북도 청주시 평생학습관,중급,https://lll.cheongju.go.kr
AI를 활용한 숏폼 제작,AI영상제작,봉화군민,오프라인,경상북도 봉화군 봉화읍 내성로5길 13,경상북도 봉화군청,중급,https://www.bonghwa.go.kr/edu
챗GPT 실생활 혁신,디지털 문화,봉화군민,오프라인,경상북도 봉화군 봉화읍 내성로5길 13,경상북도 봉화군청,초급,https://www.bonghwa.go.kr/edu
시니어 AI기초반,생성형 AI를 다루어보며 AI의 다양한 기능 익히기,영천시민,오프라인,경상북도 영천시 최무선로 243,경상북도 영천시청 평생학습관,초급,http://www.yc.go.kr/edu
Ai와 Chat Gpt활용과정(초급/오후),AI와 ChatGPT 활용방법(초급),지역주민,오프라인,전라남도 해남군 해남읍 교육청길 54,전라남도 해남군교육재단,초급,http://www.haenamedu.or.kr
Ai와 Chat Gpt활용과정(중급/야간),AI와 ChatGPT 활용방법(중급),지역주민,오프라인,전라남도 해남군 해남읍 교육청길 54,전라남도 해남군교육재단,중급,http://www.haenamedu.or.kr
스마트폰 카메라 사진 교실,스마트폰 및 일반카메라를 활용하여 일상 사진을 촬영하고 간단한 편집과 AI 자동보정까지 배워보기,제한없음,오프라인,"전북특별자치도 남원시 요천로 1283, 남원시 평생학습관 본관",전북특별자치도 남원시청,중급,https://www.namwon.go.kr/lifelong
AI 활용 콘텐츠 제작과정,"AI도구(챗GPT,제미나이,미리캔버스,영상편집)를 활용하여 콘텐츠 디자인 및 영상제작해보기",제한없음,오프라인,"전북특별자치도 남원시 요천로 1283, 남원시 평생학습관 본관",전북특별자치도 남원시청,중급,https://www.namwon.go.kr/lifelong
내 삶을 담다 AI로 남기기(야간) 디지털 자서전 클래스,시민참여교육,익산시민,오프라인,전북특별자치도 익산시 선화로133,전북특별자치도 익산시청,초급,http://www.iksan.go.kr/lll
내 생활속 AI,생성형 AI 기본개념이해 및 실생활 적용,금산군민,오프라인,충청남도 금산군 금산읍 금산로 1559,금산다락원,초급,http://geumsan.go.kr/daragwon/
AI와 함께하는 블로그와 인스타그램,직업능력,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
AI 활용 스마트스토어구축 A to Z,직업능력,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
AI와 함께하는 스마트폰 활용 중급반,디지털 리터러시,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
슬기로운 일상 똑똑한 AI 사용법(50세 이상),챗GPT 등 인공지능 도구를 쉽고 안전하게 사용하는 방법을 배우고 일상생활에 활용(실습형),시민,오프라인,충청남도 보령시 목장길 66,충청남도 보령시 평생학습관,중급,http://www.brcn.go.kr/life.do
충남보령시민대학_시민교양영역_스마트한 AI생활 - 1기,AI의 이해와 일상생활에서의 활용,시민,오프라인,충청남도 보령시 목장길 66,충청남도 보령시 평생학습관,중급,http://www.brcn.go.kr/life.do
(학습관-주간반) AI를 활용한 미디어 제작,"생성형 AI의 기본 개념을 이해하고, 일상&middot;학습&middot;업무에 안전하고 책임 있게 활용할 수 있는 기초 역량을 함양1. 범용 AI - ChatGPT 활용 및 Google Gemini활용, 2. 특수목적 AI - 미드저니, Suno AI, 소라 등 주요 생성형 AI 활용법3. AI를 활용한 미디어 만들기(짧은 영화, 광고, 만화, 음악, 게임, 논문, 강의안",성인,오프라인,강원특별자치도 원주시 원일로 139,강원특별자치도 원주시 평생교육원,초급,http://yeyak.wonju.go.kr
(동부-주간반) 왕초보 AI활용법(ChatGPT?Gemini),"1. AI앱을 설치하고, 자유롭게 사용한다. 2. 여행 계획, 맛집 찾기, 편지 쓰기 등 다양한 것을 AI로 해결한다. 3. AI가 그려준 그림과 글로 나만의 콘텐츠(그림책)를 만들고 공유한다.",성인,오프라인,강원특별자치도 원주시 건강로 73,강원특별자치도 원주시 동부복합생활지원센터,초급,http://yeyak.wonju.go.kr
생성형 AI활용 교육(노트북 지참),"AI의 개념을 이해하고, 직접 사용하며 결과물 만들기",지역주민+성인,오프라인,경기도 용인시 기흥구 신갈로138번길 23,기흥평생학습관,중급,https://lll.yongin.go.kr/giheung/index.do
AI도구를 활용한 크리에이터 되기(야간),ai앱 활용 및 영상 제작,지역주민+성인,오프라인,경기도 용인시 수지구 문정로 7번길 15,용인시 평생학습관,중급,http://lll.yongin.go.kr
챗 GPT 첫 입문(야간),챗gpt 기초 입문 교육,지역주민+성인,오프라인,경기도 용인시 수지구 문정로 7번길 15,용인시 평생학습관,초급,http://lll.yongin.go.kr
(단기_화상학습)AI동영상제작편집(기초),컴퓨터활용,성인,온라인,경기도 남양주시 경춘로 522,남양주시평생학습센터,초급,https://nyjedu.gseek.kr
(단기_화상학습)엑셀에서 AI활용과 업무자동화-야간,컴퓨터활용,성인,온라인,경기도 남양주시 경춘로 522,남양주시평생학습센터,고급,https://nyjedu.gseek.kr
(단기_화상학습)AI를 활용한 스마트폰과 컴퓨터,역량개발,성인,온라인,경기도 남양주시 경춘로 522,남양주시평생학습센터,중급,https://nyjedu.gseek.kr
(단기)AI 크리에이터 콘텐츠 기획에서 제작까지,디지털역량,성인,오프라인,경기도 남양주시 다산중앙로82번안길 146 (다산동) 경기도시청자미디어센터 3층 미디어강의실1,남양주시평생학습센터,중급,https://nyjedu.gseek.kr
AI로 만드는 나만의 음악,AI로 나만의 음악 만들기 수업을 진행합니다.,성인,오프라인,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",경기도 동두천시 미래교육진흥원,중급,http://edu.ddc.go.kr
AI이용한 영상편집,영상제작 수업을 진행합니다.,성인,오프라인,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",경기도 동두천시 미래교육진흥원,중급,http://edu.ddc.go.kr
AI로 세계여행하기,AI로 세계여행하기 수업을 진행합니다.,성인,오프라인,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",경기도 동두천시 미래교육진흥원,초급,http://edu.ddc.go.kr
AI 한글&엑셀,한글&엑셀 수업을 진행합니다.,성인,오프라인,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",경기도 동두천시 미래교육진흥원,중급,http://edu.ddc.go.kr
AI활용 블로그&동영상제작,블로그&동영상제작 수업을 진행합니다.,성인,오프라인,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",경기도 동두천시 미래교육진흥원,중급,http://edu.ddc.go.kr
[마을배움터]스마트폰 활용과 AI 친해지기,컴퓨터 관련 프로그램,청년/직장인+성인+어르신,오프라인,경기도 광명시 철망산로 2,광명시평생학습원,중급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090550
"[마을배움터]AI 시대, 나를 브랜드로 만드는 멀티미디어 그림동화책 출간",컴퓨터 관련 프로그램,청년/직장인+성인+어르신,오프라인,경기도 광명시 철망산로 2,광명시평생학습원,초급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090531
왕초보 AI 활용 기초,디지털(정보화) 리터러시 프로그램,어르신,오프라인,경기도 광명시 철망산로 2,인생플러스센터,초급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090629
AI 활용 나만의 다이어리·노트 만들기,기타,청소년+청년/직장인+성인+어르신,오프라인,경기도 광명시 철망산로 2,인생플러스센터,중급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090628
생성형 AI 이미지 및 영상제작,미디어(저널리즘) 리터러시 프로그램,초등+청소년+청년/직장인+성인+어르신+장애인,오프라인,경기도 광명시 철망산로 2,한국폴리텍대학 광명융합기술교육원,초급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090655
생성형AI로 굿즈만들기,기타,청년/직장인+성인+어르신+장애인+외국인+기타,오프라인,경기도 광명시 철망산로 2,광명1동주민자치회,중급,https://sugang.gm.go.kr/ilms/learning/learningDetail.do?lng_id=LEARNING_00090140
생성형AI활용 그림책미디어지도사,그림책 활용 다양한 미디어 콘텐츠 제작,성인,오프라인,대전광역시 동구 동구청로 147,대전광역시 동구미래교육과,중급,http://www.donggu.go.kr/lll
내친구 AI와 똑똑한 비서 스마트폰,일상생활에 꼭 필요한 스마트폰 활용 능력 키우기,성인,오프라인,대전광역시 동구 동구청로 148,대전광역시 동구미래교육과,초급,http://www.donggu.go.kr/lll
[1분기] 일상에서 바로 쓰는 생성형 AI 실전활용 : 글쓰기·이미지· 영상까지 한 번에,생활취미,성인,오프라인,광주광역시 광산구 목련로217번길 10?운남어린이도서관,운남어린이도서관,초급,https://edu.gwangsan.go.kr/
2026. 상반기 꿈에뽀짝 AI디지털 창작교육지도사(2급),직업능력,성인,오프라인,광주광역시 광산구 북문대로419번길 73?보건대 여호수아관 1층 치위생 정보 실습실,광주광역시 광산구 교육도서관과,중급,https://edu.gwangsan.go.kr/
2026. 상반기 꿈에뽀짝 AI기반 직업진로코칭지도사(1급),직업능력,성인,오프라인,광주광역시 광산구 임방울대로 673-12?2층 시청각실,광주광역시 광산구 교육도서관과,중급,https://edu.gwangsan.go.kr/
[겨울독서교실] AI 이모티콘 만들기 (운남어린이도서관),생활취미,초등학생,오프라인,광주광역시 광산구 목련로217번길 10?운남어린이도서관 강당+ 책보고시끌(꿈창작실),운남어린이도서관,중급,https://edu.gwangsan.go.kr/
쉽게 배우고 바로 쓰는 인공지능 활용법,인공지능을 활용할 수 있는 방법을 익혀 실생활에서 활용하기,성인,오프라인,인천광역시 연수구 원인재로 115,인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수 상반기] 취업브랜딩 레벨업 AI로 나를 돋보이게 하는 법,AI 활용 디지털 포트폴리오 및 온라인 프로필 구축을 통한 취업 경쟁력 강화,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수 하반기] 내 삶을 업그레이드 챗GPT로 레벨업,일상과 업무에 유용한 챗GPT 활용법을 배우고 직접 실습하며 디지털 역량을 키우는 AI 활용 입문 과정,성인,오프라인,인천광역시 연수구 원인재로 115,인천광역시 연수구청,초급,https://www.yeonsu.go.kr/lll/
"[송도여름특강] 글쓰기 부터 영상까지, 오늘 배우고 바로 써보는 AI컨텐츠 만들기","생성형 AI의 개념을 이해하고 다양한 도구를 통해 글쓰기. 이미지, 영상 등 다양한 컨텐츠를 만들어본다.",성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
"[송도 하반기] AI 시대, 진정한 나를 지키는 법",AI 시대 디지털 환경을 이해하고 새로운 세상에서 나의 정체성과 생각을 지키는 법을 배워본다.,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,초급,https://www.yeonsu.go.kr/lll/
[송도 하반기] 인공지능(AI) 콘텐츠 전문가 2급 자격 과정,다양한 인공지능(AI) 플랫폼을 활용하여 콘텐츠를 기획하고 제작하는 법을 배워본다.,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수동계특강] ChatGPT로 시작하는 스마트 자녀교육,생성형 AI를 활용한 스마트한 자녀교육 방법을 이해,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수동계특강] 초보도 OK AI와 함께하는 영상 만들기,유튜브 및 SNS에 공유하는 실전 크리에이터 양성을 목표로 한다.,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수여름특강] 챗GPT로 더 똑똑하게 사는법,생성형 AI의 기본 개념과 기술 원리 이해,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,초급,https://www.yeonsu.go.kr/lll/
[송도동계특강]누구나 따라하는 스마트폰 AI 콘텐츠 만들기,"AI를 활용한 콘텐츠 제작 경험을 통해 디지털 자신감을 높이고, 자기표현과 소통, 제2의 활동 기회를 확장하는 것을 목표로 한다.",성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수 상반기] 일 잘하는 사람의 AI 활용법,"챗GPT부터 제미나이까지, 나에게 꼭 맞는 AI 활용법 비교 학습",성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,중급,https://www.yeonsu.go.kr/lll/
[연수 상반기] 생성형 AI 활용 전문가 자격증 과정,"생성형 AI 실전 활용부터 자격증 취득까지, 3060 맞춤형 전문가 과정",성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,고급,https://www.yeonsu.go.kr/lll/
[송도상반기]인공지능(AI) 콘텐츠 전문가 자격 과정,생성형 인공지능(AI)의 개념과 도구를 배우고 다양한 콘텐츠를 직접 기획 및 제작해 보는 과정입니다.,성인,오프라인,인천광역시 연수구 연구단지로 14(송도동),인천광역시 연수구청,고급,https://www.yeonsu.go.kr/lll/
찾아가는 평생학습 「Run to You」 1차,AI를활용한독서지도,성인,오프라인,대구광역시 북구 대천로 21,대구광역시 북구청,중급,http://www.buk.daegu.kr/reserve/index.do
쳇GPT와 함께 쓰는 나의 첫 전자책:인생의 한 챕터를 쓰다,교양,기장군민 또는 기장군 소재 직장인,오프라인,부산광역시 기장군 기장읍 기장대로560,부산광역시 기장군청,중급,https://www.gijang.go.kr/lll
"나도 이제 작가, AI 자서전 작가 양성 과정",AI 작가양성 과정,주민,오프라인,"부산광역시 남구 못골로 19, 남구청 별관 3층",부산광역시 남구청,초급,https://www.bsnamgu.go.kr/edu/
[모두의AI스쿨] AI를 활용한 치매 완전 정복,AI를 활용한 치매 완전 정복,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,초급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] 시니어를 위한 생성형 AI 활용,시니어를 위한 생성형 AI 활용,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,초급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] Chat-gpt와 함께하는 인생 회고록,Chat-gpt와 함께하는 인생 회고록,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,초급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] Chat-gpt로 문학읽기 시낭송의 재발견,Chat-gpt로 문학읽기 시낭송의 재발견,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,초급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] 일상에서 쓰는 AI 활용,일상에서 쓰는 AI 활용,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,초급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] 스마트폰 하나로 완성하는 AI 숏폼 크리에이터,스마트폰 하나로 완성하는 AI 숏폼 크리에이터,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,중급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] n8n 생성형 AI활용 업무 자동화 실무과정,n8n 생성형 AI활용 업무 자동화 실무과정,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,중급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] AI활용 블로그 마케팅 수익화,AI활용 블로그 마케팅 수익화,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,중급,http://lll.bsjunggu.go.kr
[모두의AI스쿨] AI기반 제안서 문서작성 실무과정,AI기반 제안서 문서작성 실무과정,지역주민,오프라인,부산광역시 중구 대청로116번길 13,부산광역시 중구청,중급,http://lll.bsjunggu.go.kr
나도 AI숏폼 동화 크리에이터,AI도구를 활용한 자기주도형 콘텐츠 제작,2015~2018년생,오프라인,서울특별시 강동구 성안로 106-1,강동구평생학습관,초급,http://lll.gangdong.go.kr
[일원2] (시니어)생성형 AI를 활용한 콘텐츠 제작,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원1] (시니어)스마트폰 AI 입문교실,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
(미사용)[일원1] 스마트폰,AI,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
"[일원1] AI와 함께, 유튜브 크리에이터 도전",디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[수서1] 스마트폰 AI 입문교실,디지털,성인,오프라인,서울특별시 강남구 밤고개로165,서울특별시 강남구청,초급,http://www.longlearn.go.kr
[일원1] 캔바&AI활용 그래픽 디자인,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[논현1]상상 그 이상 AI 영상창작 클래스(A/6회),디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원1] (시니어)AI와 함께하는 FUN 스마트폰 활용,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
"[논현1]AI와 함께, 유튜브 크리에이터 도전기",디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[논현1]AI & Procreate로 완성하는 디지털 일러스트,디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원1] (시니어)생성형 AI를 활용한 콘텐츠 제작,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[논현2]AI와 디지털툴로 그림작가 되기(B/6회),디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원2] (시니어)스마트폰 AI 입문교실,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
"[일원2] 6주 완성, AI와 함께 시니어 해외여행 (A/6회)",디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
"[일원2] AI와 함께, 유튜브 크리에이터 도전",디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
"[일원2-저녁] AI로 배우는 로고 디자인, 나도 로고 작가되기(A/6회)",디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원2] (시니어)AI와 함께하는 FUN 스마트폰 활용,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,초급,http://www.longlearn.go.kr
"[논현2]AI와 함께, 유튜브 크리에이터 도전",디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원2] 캔바&AI활용 그래픽 디자인,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[수서2] 일상에서 바로 쓰는 스마트폰 AI,디지털,성인,오프라인,서울특별시 강남구 밤고개로165,서울특별시 강남구청,초급,http://www.longlearn.go.kr
[일원2] 처음에도 OK AI로 만드는 나만의 동화책 (플립북&오디오북),디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[논현2]상상 그 이상 AI 영상 스튜디오(A/6회),디지털,성인,오프라인,서울특별시 강남구 논현로 131길 40,서울특별시 강남구청,중급,http://www.longlearn.go.kr
[일원2] 영상편집 몰라도 OK AI 영상 창작 클래스,디지털,성인,오프라인,서울특별시 강남구 영동대로22,서울특별시 강남구청,중급,http://www.longlearn.go.kr
AI 첫걸음,컴퓨터/모바일,일반어르신,오프라인,서울특별시 금천구 시흥대로73길 70,금천평생학습과시흥,초급,https://www.geumcheon.go.kr/edu/index.do
시니어를 위한 생활비서 AI,컴퓨터/모바일,문해학습자,오프라인,서울특별시 금천구 시흥대로73길 70,금천평생학습과시흥,초급,https://www.geumcheon.go.kr/edu/index.do
AI를 활용한 글쓰기와 뮤직비디오 제작,컴퓨터/모바일,성인,오프라인,서울특별시 금천구 범안로 1240-7,금천평생학습관독산,중급,https://www.geumcheon.go.kr/edu/index.do
[금천시민대학(교양)]생성형 AI를 활용한 업무 자동화 B,컴퓨터/모바일,금천구민(성인),오프라인,서울특별시 금천구 범안로 1240-7,금처평생학습관 독산,중급,https://www.geumcheon.go.kr/edu/index.do
"(저녁)AI와 함께, 유튜브 크리에이터 도전","쇼츠에 최적화된 스토리 구조를 배우고, AI 영상 생성 도구로 아이디어를 실제 영상으로 제작해 개인 홍보와 SNS 운영에 바로 활용해 보는 수업",지역주민,오프라인,서울특별시 성북구 종암로 167,서울특별시 성북구청,중급,https://www.sb.go.kr/yeyak/index.do
스마트한 스마트폰 Ⅰ(AI 활용하기),편리한 생활을 위한 스마트폰 활용법,성인,오프라인,경상남도 사천시 사천읍 평화2길 21,경상남도교육청사천도서관,초급,http://salib.gne.go.kr
행복노후와 AI/챗GPT 활용하기,노후대비 미래설계 및 AI 사용법 습득,일반인,오프라인,경상북도 구미시 산책길 41 (원평동),경상북도교육청 구미도서관,중급,http://www.gbelib.kr/gm/index.do
AI숏폼 영상편집 2반,AI활용 영상 편집 프로그램(Vrew)으로 쉽고 빠르게 숏폼 영상 제작,초4-6,오프라인,전라남도 고흥군 고흥읍 고흥로 1647-13,전라남도교육청고흥평생교육관,중급,https://ghlife.jne.go.kr
AI숏폼 영상편집 1반,AI활용 영상 편집 프로그램(Vrew)으로 쉽고 빠르게 숏폼 영상 제작,초1-3,오프라인,전라남도 고흥군 고흥읍 고흥로 1647-13,전라남도교육청고흥평생교육관,초급,https://ghlife.jne.go.kr
AI활용능력 자격반,AI프롬프트활용능력 2급 자격 취득 과정,지역주민+성인,오프라인,전라남도 여수시 대통1길 55 (화장동),전라남도교육청학생교육문화회관,중급,https://jsecc.jne.go.kr
AI 로봇 메이커,인공지능 로봇 제작을 통한 미래 직업 체험 교실,아동+청소년,오프라인,전라남도 장성군 장성읍 청운7길 22,전라남도교육청장성도서관,중급,https://jslib.jne.go.kr
에코크리에이터,상상력을 키워가는 AI 활동,학생,오프라인,전라남도 나주시 남고문로 51 (금성동),전라남도교육청나주도서관,중급,https://njlib.jne.go.kr/
AI 로봇 과학,AI를 이용하여 도움받는 놀이,학생,오프라인,전라남도 나주시 남고문로 51 (금성동),전라남도교육청나주도서관,초급,https://njlib.jne.go.kr/
AI+ 파워포인트,PPT활동 및 컴퓨터 체험,학생,오프라인,전라남도 나주시 남고문로 51 (금성동),전라남도교육청나주도서관,중급,https://njlib.jne.go.kr/
AI 챗 GPT 쉽게 배우기,인공지능과 함께하는 놀이,학생,오프라인,전라남도 나주시 남고문로 51 (금성동),전라남도교육청나주도서관,초급,https://njlib.jne.go.kr/
실생활에 도움되는 AI 미디어 콘텐츠 만들기,생성형 AI 사용법,성인,오프라인,전라남도 곡성군 곡성읍 읍내7길 29,전라남도교육청곡성교육문화회관,중급,http://gslib.jne.go.kr
AI 첫걸음 챗GPT 활용,챗gpt를 쉽게 배우고 활용,성인,오프라인,전라남도 고흥군 고흥읍 고흥로 1647-13,전라남도교육청고흥평생교육관,초급,https://ghlife.jne.go.kr
챗GPT AI활용,챗GPT로 실생활 문제해결력을 키우기 파워포인트로 자료 정리,아동+청소년,오프라인,전라남도 목포시 원산주택로3번길 6 (산정동),전라남도교육청목포도서관,중급,https://mplib.jne.go.kr
마이크로비트와 엔트리 인공지능,마이크로비트와 코딩을 이용해 각종 센서를 연결하고 인공지능 프로그램 만들기,아동,오프라인,전라남도 목포시 원산주택로3번길 6 (산정동),전라남도교육청목포도서관,중급,https://mplib.jne.go.kr
"미래 크리에이터, AI로 첫걸음","생성형 AI(ChatGPT, 투닝 AI 등)를 활용하여 글쓰기·그림·음악·영상 등 다양한 콘텐츠 제작",초5~고3,오프라인,"전북특별자치도 익산시 고봉로 55 (마동, 전북특별자치도교육청익산학생교육문화관)",전북특별자치도교육청익산학생교육문화관,초급,https://lib.jbe.go.kr/isec/index.do
